,0
0,-0.48900932241863915
1,-0.34141472677515994
2,-0.35864923018793204
3,-0.6651570409210072
4,-0.6465805439072533
5,-1.0679289590690177
6,-1.7457621544275685
7,-1.0800480907788756
8,-1.590346587620107
9,-1.085594590345061
10,-1.1717346667585924
11,-0.5929423738183301
12,-1.8420932926151963
13,-2.1062689901616207
14,-0.8740556999198179
15,-0.8311532859297518
16,-0.6316991146050661
17,-0.5181732152684209
18,-1.6746750557046695
19,-0.8315289892652118
20,-1.003352002036828
21,-1.2663565065467783
22,-0.45157094431608646
23,-0.45148936364660575
24,-0.8029385186149409
25,-0.714213479379643
26,-0.7766610357291701
27,-0.504698953500132
28,-0.6400052921347017
29,-1.7699993927815871
30,-0.8529418098323235
31,-1.9276395085413829
32,-1.6828517199133997
33,-1.0180704928040873
34,-1.651545929436948
35,-1.046293213590289
36,-0.6623606748628927
37,-0.40060144572220446
38,-0.4707949146977817
39,-0.7579412236369785
40,-0.7626616029820705
41,-0.8345321103012671
42,-0.8406604848919161
43,-0.8870249403734722
44,-1.1699072446601935
45,-0.8882769836889103
46,-1.7078841712197506
47,-1.6650189705541738
48,-0.6672180230154385
49,-0.7357708569172172
50,-0.5001070537501584
51,-0.5303418669253372
52,-0.9198574764789673
53,-1.2515535899432093
54,-1.3704054424444374
55,-2.4910523451580677
56,-0.9309922824096848
57,-1.560154985047562
58,-0.5212433051629723
59,-0.5772496241636444
60,-2.296029567631884
61,-1.1010050830166984
62,-1.107801551875158
63,-0.6007279875184075
64,-1.5711320426130184
65,-0.8766005324130708
66,-1.2471223216590768
67,-1.9978375975515883
68,-2.1042612539338403
69,-0.8402268962250266
70,-1.4286862614644513
71,-0.8900546497813604
72,-0.8819114114302278
73,-0.5755438313335217
74,-0.6603125364095277
75,-0.8666089523352465
76,-0.6406406901695925
77,-1.5721272416738938
78,-0.865312438612833
79,-0.8582219203735659
80,-1.8186660735007845
81,-1.0354452723387642
82,-0.5816374316668309
83,-0.33308409133653205
84,-0.9441313066171864
85,-0.9086068333841602
86,-0.7477417152335641
87,-1.3230142775344373
88,-0.23350626718657397
89,-0.5907533812360466
90,-0.5189641189346532
91,-1.6239242337057118
92,-0.7682217424362467
93,-0.713737396989985
94,-0.917674831193517
95,-0.717504436342808
96,-0.8967715972012418
97,-0.8330933232393696
98,-0.6764943733206641
99,-1.5904315549072487
100,-0.9490847589493814
101,-0.5879740124929369
102,-0.3595379294840124
103,-0.4727072200468494
104,-0.9722765567475675
105,-0.525003754735891
106,-0.9949975564194931
107,-1.6688341298895795
108,-1.0210337688299558
109,-1.4269802822014857
110,-0.28436930836053476
111,-0.5681035424747494
112,-0.54720639581336
113,-0.292292264391218
114,-0.3456467208143854
115,-0.9857758972191224
116,-0.5423016244414067
117,-0.5873279347648896
118,-0.4516234115216351
119,-0.5841447864446403
120,-0.8119971654796392
121,-0.7525695871660054
122,-0.31717339071140005
123,-1.1425677989800347
124,-0.5808901648731148
125,-0.33759767783306194
126,-0.7555591510911062
127,-1.4769904675838887
128,-0.7185190323873392
129,-0.7333155085915488
130,-0.2241584675495516
131,-1.3965634160567317
132,-0.709276032784286
133,-0.546208849456417
134,-0.611559222490365
135,-1.4331140666071547
136,-0.6625637529357414
137,-0.8142732604119467
138,-0.38738929874412964
139,-0.24214807775041836
140,-0.9487060382014079
141,-1.2773434376761612
142,-1.5925947484382852
143,-0.06696291186981629
144,-1.5254514012052938
145,-0.46514654647198483
146,-0.38121213379923224
147,-0.5745879437120935
148,-0.36797036078366085
149,-0.6382174808686436
150,-0.7615274807842463
151,-0.5470646330179911
152,-0.6101813603763562
153,-0.4767222858973912
154,-0.9800206838937551
155,-0.6196252700325828
156,-0.3477444874889728
157,-1.7037455619156625
158,-0.6099804626999155
159,-0.43864567902008456
160,-1.5152565572063068
161,-0.8108344958513825
162,-0.618486429356171
163,-0.16971828425487923
164,-0.6516080518345815
165,-1.0290175890489737
166,-0.8683356574824728
167,-0.6617517095731564
168,-0.7771391574043043
169,-0.5832147799327831
170,-0.6471724239951651
171,-0.6791475649520008
172,-0.16770497767606818
173,-0.1493890231952677
174,-0.1576715936995705
175,-0.5934620310975989
176,-0.3084681369126395
177,-0.09610843648170775
178,-0.2294648235126564
179,-0.08819415384703477
180,-0.4618907315771992
181,-0.5137862305834284
182,-0.5181953277617017
183,-0.49582940414813015
184,-0.5879217220835589
185,-0.47478864661568576
186,-0.49855610077692925
187,-1.3235460232982046
188,-2.115791264339547
189,-0.7671275827006885
190,-0.779862059471391
191,-1.2748179074374488
192,-0.23231779467325353
193,-0.25355250011603836
194,-0.7456633110975579
195,-0.7491546439396846
196,-1.557283189020069
197,-0.19298590608881705
198,-0.07938779474444235
199,-1.408409004141971
200,-0.4866747509482101
201,-0.16397599385918005
202,-0.39356487470922996
203,-0.8401014992196374
204,-0.48188404676582586
205,-0.5045372979104683
206,-0.6820505548701283
207,-0.4832916102578797
208,-0.5484597313629247
209,-0.4557797741709826
210,-0.7926529151173187
211,-1.0961132916033502
212,-0.9292771854033266
213,-0.6577503060719194
214,-0.34702363140768355
215,-0.24503239643733377
216,-0.7888226945617896
217,-0.4735505779713247
218,-0.6361860771165002
219,-1.3885044464886267
220,-0.9015954291554409
221,-0.23840751834744545
222,-0.6238354168703593
223,-0.2933477047472418
224,-0.06369682038122981
225,-1.5021848326805558
226,-0.180628024904133
227,-0.22168957847932413
228,-0.4453100666072194
229,-0.7055005508751662
230,-0.4987990672524343
231,-0.5437287796106913
232,-0.43343502508681686
233,-1.6394278808287823
234,-0.9183557805198701
235,-0.3897943213748971
236,-0.41387100123694853
237,-0.6693930702215094
238,-0.26218536734623665
239,-0.2510481149535071
240,-0.7640914308143749
241,-0.0538968001262532
242,-0.4841295452960104
243,-1.4679769603846786
244,-0.10794947291183554
245,-0.13707329801889223
246,0.10181561607932244
247,-0.5151683012933779
248,-0.2990729338439948
249,-1.338199965598069
250,-0.4559002099153715
251,-0.525654921366419
252,-0.22321072256284147
253,-1.2254519455657782
254,-0.5319356069195733
255,-0.5125607642478456
256,-1.567478932214465
257,-0.7528337788914485
258,-0.34596168689543627
259,-0.45141318839937616
260,-0.16087469428319023
261,-0.2551119273395823
262,-0.7191395325838515
263,-1.6148452550304988
264,-1.6229719701248568
265,-0.6676031443555512
266,-0.4469665500230535
267,-0.6709607624148943
268,-0.7297247118922234
269,-0.7505904004494115
270,-0.5661681842932262
271,-0.6736490275491378
272,-0.8393699632259848
273,-0.9079221340350889
274,-0.7223059486650133
275,-0.7060175958488624
276,-0.12578933861106778
277,-0.4065435561021373
278,-0.6741136479306031
279,-0.6306219555035719
280,-1.6351517926667127
281,-1.0557689662275536
282,-0.9387373019532573
283,-0.7212037227078283
284,-0.8884056611835263
285,-0.46135083662220744
286,-0.702398656192833
287,-0.5014102894652548
288,-0.5024627838346354
289,-0.6408851836724327
290,-0.6199203369128474
291,-0.8950647211411127
292,-0.6035361578562928
293,-0.6339069095986645
294,-0.6572423804966956
295,-0.6596718873824003
296,-0.8751310522488964
297,-0.6746083596391795
298,-1.0825358599451333
299,-0.572834350788769
300,-0.6976654321045719
301,-0.866978666652503
302,-0.786871443057498
303,-0.4926048200692583
304,-1.6696190158053934
305,-0.6025271231432089
306,-0.6517295937251659
307,-1.7415526990892092
308,-0.8163636664303255
309,-0.7278381262000235
310,-0.8980010455779319
311,-1.5974742834351447
